id;Gender;Python_user;R_user;Age;Publications;Tasks;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Year
1;female;yes;yes;38;33;Postdoctoral_research;5;5;5;3;3;2;5;4;5;4;2004
2;male;no;yes;36;31;Postdoctoral_research;3;4;4;4;4;3;5;4;4;2;2002
3;male;yes;no;30;19;PhD_Student;5;5;5;4;5;4;5;4;5;5;2016
4;female;yes;no;42;29;Phd_Supervisor;4;4;4;3;3;4;4;2;3;4;2007
5;female;yes;no;37;31;PhD_Student;4;3;5;2;4;4;5;3;5;4;2001
6;female;no;no;43;36;Phd_Supervisor;2;4;5;5;5;4;3;4;4;5;2008
7;female;yes;no;36;21;Postdoctoral_research;4;5;4;4;5;4;4;4;5;4;2005
8;female;yes;no;35;36;Postdoctoral_research;3;4;4;5;5;4;4;4;4;5;2005
9;male;yes;no;35;31;Postdoctoral_research;5;5;4;4;5;4;2;3;4;3;2013
10;female;yes;no;34;28;Postdoctoral_research;5;4;4;3;3;4;4;2;3;4;2012
11;female;NA;no;30;24;PhD_Student;4;4;4;4;4;3;4;2;4;4;2009
12;female;yes;yes;34;26;PhD_Student;3;3;4;3;4;3;5;4;2;4;2012
13;male;no;yes;32;28;PhD_Student;4;4;5;3;4;3;4;2;3;4;2001
14;male;yes;no;52;70;Phd_Supervisor;4;4;4;4;5;4;4;5;5;4;2001
15;male;no;yes;38;31;Postdoctoral_research;3;3;3;4;2;2;5;2;5;4;2007
16;male;no;yes;34;18;Postdoctoral_research;3;4;5;3;5;3;4;4;4;4;2010
17;male;no;yes;29;22;PhD_Student;4;4;2;4;5;4;4;4;5;5;2013
18;male;no;yes;37;30;Postdoctoral_research;5;4;5;4;5;4;3;2;4;4;2009
19;male;no;yes;38;36;Postdoctoral_research;4;5;5;5;2;2;4;5;1;1;2011
20;male;no;yes;33;22;PhD_Student;3;4;4;4;4;4;4;3;4;4;2006
21;male;yes;yes;36;25;Postdoctoral_research;3;4;5;5;5;5;4;5;1;5;2013
22;male;no;yes;39;40;Postdoctoral_research;1;3;5;3;1;1;1;5;1;1;2015
23;male;yes;yes;38;36;PhD_Student;4;4;5;4;5;4;5;5;4;5;2011
24;male;no;yes;39;33;Phd_Supervisor;5;4;5;2;2;4;4;2;2;5;2004
25;male;yes;yes;36;23;PhD_Student;2;4;4;3;2;3;4;2;3;3;2008
26;male;yes;yes;32;37;PhD_Student;4;5;5;4;3;3;3;3;3;3;2012
27;male;no;yes;46;31;Phd_Supervisor;1;5;3;3;2;3;4;3;1;4;2005
28;male;yes;yes;35;26;Postdoctoral_research;5;2;4;2;2;5;3;2;3;2;2010
29;male;no;yes;47;39;Phd_Supervisor;3;3;5;2;4;4;3;3;3;5;2004
30;female;no;yes;24;12;PhD_Student;2;4;4;3;3;3;4;2;3;5;2014
31;female;yes;yes;45;34;Phd_Supervisor;4;5;5;4;5;5;4;3;5;5;2003
32;female;no;no;43;34;Phd_Supervisor;3;3;3;3;5;2;2;3;2;3;2003
33;male;no;yes;40;29;Postdoctoral_research;4;4;5;2;4;4;5;5;4;4;2004
34;male;no;yes;31;26;PhD_Student;4;5;5;4;4;3;4;4;3;4;2011
35;male;yes;yes;31;31;PhD_Student;4;5;4;3;4;5;4;3;2;5;2014
36;male;yes;yes;48;38;Phd_Supervisor;2;4;4;4;4;4;5;4;4;5;2002
37;female;yes;yes;38;39;Postdoctoral_research;5;5;4;5;5;3;4;4;5;4;2003
38;male;no;no;25;15;PhD_Student;3;4;2;2;2;2;3;2;2;3;2014
39;female;yes;no;32;21;PhD_Student;2;4;3;3;4;5;2;1;4;3;2008
40;female;yes;no;33;39;Postdoctoral_research;4;3;4;2;4;4;4;3;5;4;2006
41;female;no;yes;39;38;Postdoctoral_research;3;4;4;4;4;3;4;2;5;3;2010
